X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,month_sin,month_cos,day_sin,day_cos,is_weekend,is_peak_season,distance_to_center,dynamic_seasonal_hotspot_distance,moderate_wind_danger,hot_and_dry,double_drought,ISI_x_DC
9.0,4.0,90.5,61.1,252.6,9.4,24.5,50.0,3.1,0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,1,0,4.123105625617661,2.23606797749979,0,0,0,2374.44
6.0,5.0,90.4,93.3,298.1,7.5,20.7,25.0,4.9,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,1.0,2.23606797749979,1,1,0,2235.75
6.0,5.0,92.2,102.3,751.5,8.4,21.2,32.0,2.2,0,-1.0,-1.8369701987210292e-16,-0.7818314824680299,0.6234898018587334,1,1,1.0,2.23606797749979,0,1,1,6312.6
2.0,4.0,92.5,121.1,674.4,8.6,24.1,29.0,4.5,0,-1.0,-1.8369701987210292e-16,-0.7818314824680299,0.6234898018587334,1,1,3.1622776601683795,6.324555320336759,1,1,1,5799.839999999999
6.0,5.0,90.2,96.9,624.2,8.9,14.7,59.0,5.8,0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1,1,1.0,2.23606797749979,1,0,1,5555.380000000001
7.0,4.0,92.1,99.0,745.3,9.6,18.7,50.0,2.2,0,-1.0,-1.8369701987210292e-16,-0.9749279121818236,-0.2225209339563146,0,1,2.23606797749979,2.23606797749979,0,0,1,7154.879999999999
2.0,4.0,92.0,203.2,664.5,8.1,24.9,42.0,5.4,0,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,1,1,3.1622776601683795,6.324555320336759,1,0,1,5382.45
1.0,4.0,91.0,129.5,692.6,7.0,21.7,38.0,2.2,0,-1.0,-1.8369701987210292e-16,0.9749279121818236,-0.2225209339563143,0,1,4.123105625617661,7.280109889280518,0,1,1,4848.2
3.0,6.0,91.1,94.1,232.1,7.1,19.2,38.0,4.5,0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,0,2.23606797749979,5.0,1,0,0,1647.91
3.0,4.0,91.8,175.1,700.7,13.8,26.8,38.0,6.3,0,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,1,1,2.23606797749979,5.385164807134504,0,1,1,9669.660000000002
4.0,5.0,91.2,48.3,97.8,12.5,15.8,27.0,7.6,0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0,1,1.0,2.0,0,0,0,1222.5
3.0,4.0,86.9,6.6,18.7,3.2,8.8,35.0,3.1,0,0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0,0,2.23606797749979,3.1622776601683795,0,0,0,59.84
5.0,4.0,86.8,15.6,48.3,3.9,12.4,53.0,2.2,0,0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,1,0,1.0,1.4142135623730951,0,0,0,188.37
2.0,2.0,93.5,139.4,594.2,20.3,22.9,31.0,7.2,0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1,1,4.242640687119285,7.211102550927978,0,1,1,12062.260000000002
3.0,4.0,96.1,181.1,671.2,14.3,32.3,27.0,2.2,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0,1,2.23606797749979,5.385164807134504,0,1,1,9598.160000000002
1.0,4.0,92.2,102.3,751.5,8.4,24.2,27.0,3.1,0,-1.0,-1.8369701987210292e-16,-0.7818314824680299,0.6234898018587334,1,1,4.123105625617661,7.280109889280518,0,1,1,6312.6
4.0,3.0,92.5,122.0,789.7,10.2,17.3,45.0,4.0,0,-1.0,-1.8369701987210292e-16,-0.9749279121818236,-0.2225209339563146,0,1,2.23606797749979,5.0,1,0,1,8054.94
8.0,6.0,91.2,147.8,377.2,12.7,19.6,43.0,4.9,0,1.2246467991473532e-16,-1.0,0.4338837391175582,-0.900968867902419,0,0,3.1622776601683795,0.0,1,0,0,4790.44
2.0,2.0,91.1,103.2,638.8,5.8,23.1,31.0,3.1,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,1,4.242640687119285,7.211102550927978,0,1,1,3705.04
7.0,4.0,91.7,48.5,696.1,11.1,16.8,45.0,4.5,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0,0,2.23606797749979,1.4142135623730951,1,0,1,7726.71
7.0,4.0,90.6,43.7,686.9,6.7,14.6,33.0,1.3,0,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,0,2.23606797749979,1.4142135623730951,0,0,1,4602.23
1.0,2.0,92.9,137.0,706.4,9.2,21.5,15.0,0.9,0,-1.0,-1.8369701987210292e-16,-0.433883739117558,-0.9009688679024191,0,1,5.0,8.06225774829855,0,1,1,6498.879999999999
4.0,5.0,95.2,217.7,690.0,18.0,23.4,49.0,5.4,0,-0.8660254037844385,-0.5000000000000004,0.4338837391175582,-0.900968867902419,0,1,1.0,4.123105625617661,1,0,1,12420.0
8.0,6.0,91.5,145.4,608.2,10.7,8.0,86.0,2.2,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,1,3.1622776601683795,0.0,0,0,1,6507.74
6.0,5.0,90.9,18.9,30.6,8.0,8.7,51.0,5.8,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0,1,1.0,0.0,1,0,0,244.8
8.0,6.0,94.8,222.4,698.6,13.9,27.5,27.0,4.9,0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,1,3.1622776601683795,0.0,1,1,1,9710.54
8.0,6.0,94.8,222.4,698.6,13.9,23.9,38.0,6.7,0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,1,3.1622776601683795,0.0,0,1,1,9710.54
9.0,9.0,93.2,114.4,560.0,9.5,30.2,25.0,4.5,0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,5.656854249492381,3.1622776601683795,1,1,1,5320.0
1.0,4.0,89.6,84.1,714.3,5.7,19.0,52.0,2.2,0,-1.0,-1.8369701987210292e-16,-2.4492935982947064e-16,1.0,1,1,4.123105625617661,7.280109889280518,0,0,1,4071.51
3.0,4.0,91.1,88.2,731.7,8.3,22.8,46.0,4.0,0,-1.0,-1.8369701987210292e-16,-0.433883739117558,-0.9009688679024191,0,1,2.23606797749979,5.385164807134504,1,0,1,6073.110000000001
8.0,6.0,89.3,51.3,102.2,9.6,11.5,39.0,5.8,0,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0,1,1,3.1622776601683795,2.23606797749979,1,0,0,981.12
8.0,6.0,92.3,85.3,488.0,14.7,22.2,29.0,5.4,0,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,1,1,3.1622776601683795,0.0,1,1,0,7173.599999999999
6.0,5.0,87.9,24.9,41.6,3.7,10.9,64.0,3.1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0,0,1.0,0.0,0,0,0,153.92000000000002
8.0,6.0,89.3,51.3,102.2,9.6,11.4,99.0,1.8,0,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0,1,1,3.1622776601683795,2.23606797749979,0,0,0,981.12
8.0,6.0,90.1,108.0,529.8,12.5,21.2,51.0,8.9,0,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,1,3.1622776601683795,0.0,0,0,1,6622.499999999999
1.0,2.0,91.0,163.2,744.4,10.1,26.7,35.0,1.8,0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,1,5.0,8.06225774829855,0,1,1,7518.44
2.0,2.0,94.6,212.1,680.9,9.5,27.9,27.0,2.2,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0,1,4.242640687119285,7.211102550927978,0,1,1,6468.55
2.0,5.0,87.5,77.0,694.8,5.0,22.3,46.0,4.0,0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,1,3.0,6.082762530298219,1,0,0,3474.0
4.0,4.0,87.2,23.9,64.7,4.1,11.8,35.0,1.8,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0,1,1.4142135623730951,2.23606797749979,0,0,0,265.27
2.0,4.0,92.1,207.0,672.6,8.2,27.9,33.0,2.2,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,1,3.1622776601683795,6.324555320336759,0,1,1,5515.32
4.0,6.0,84.7,26.7,352.6,4.1,2.2,59.0,4.9,0,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146,0,1,1.4142135623730951,2.23606797749979,1,0,0,1445.66
3.0,4.0,91.6,181.3,613.0,7.6,24.6,44.0,4.0,0,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,1,1,2.23606797749979,5.385164807134504,1,0,1,4658.8
4.0,5.0,91.4,30.7,74.3,7.5,18.2,29.0,3.1,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0,1,1.0,2.0,0,0,0,557.25
6.0,5.0,91.9,111.7,770.3,6.5,19.6,45.0,3.1,0,-1.0,-1.8369701987210292e-16,0.9749279121818236,-0.2225209339563143,0,1,1.0,2.23606797749979,0,0,1,5006.95
1.0,4.0,91.0,276.3,825.1,7.1,14.5,76.0,7.6,0,-1.0,-1.8369701987210292e-16,-2.4492935982947064e-16,1.0,1,1,4.123105625617661,7.280109889280518,0,0,1,5858.21
1.0,3.0,91.1,91.3,738.1,7.2,19.1,46.0,2.2,0,-1.0,-1.8369701987210292e-16,-0.9749279121818236,-0.2225209339563146,0,1,4.47213595499958,7.615773105863909,0,0,1,5314.320000000001
5.0,6.0,91.6,181.3,613.0,7.6,24.3,33.0,3.6,0,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,1,1,1.0,3.0,1,1,1,4658.8
1.0,2.0,91.7,114.3,661.3,6.3,20.2,45.0,3.6,0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,1,5.0,8.06225774829855,1,0,1,4166.19
6.0,5.0,84.9,18.2,55.0,3.0,5.3,70.0,4.5,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0,1,1.0,0.0,1,0,0,165.0
4.0,5.0,92.9,137.0,706.4,9.2,21.5,15.0,0.9,0,-1.0,-1.8369701987210292e-16,-0.433883739117558,-0.9009688679024191,0,1,1.0,4.123105625617661,0,1,1,6498.879999999999
7.0,4.0,90.6,35.4,669.1,6.7,18.0,33.0,0.9,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,0,0,2.23606797749979,1.4142135623730951,0,0,1,4482.97
3.0,4.0,92.1,152.6,658.2,14.3,21.0,32.0,3.1,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0,1,2.23606797749979,5.385164807134504,0,1,1,9412.26
2.0,2.0,91.6,248.4,753.8,6.3,20.4,56.0,2.2,0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,1,4.242640687119285,7.211102550927978,0,0,1,4748.94
3.0,4.0,91.6,112.4,573.0,8.9,11.2,84.0,7.6,0,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,1,2.23606797749979,5.385164807134504,0,0,1,5099.7
2.0,4.0,92.4,105.8,758.1,9.9,16.0,45.0,1.8,0,-1.0,-1.8369701987210292e-16,-2.4492935982947064e-16,1.0,1,1,3.1622776601683795,6.324555320336759,0,0,1,7505.19
7.0,4.0,94.3,85.1,692.3,15.9,20.1,47.0,4.9,0,-1.0,-1.8369701987210292e-16,-0.9749279121818236,-0.2225209339563146,0,1,2.23606797749979,2.23606797749979,1,0,1,11007.57
7.0,4.0,81.6,56.7,665.6,1.9,21.2,70.0,6.7,0,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,1,1,2.23606797749979,2.23606797749979,0,0,0,1264.64
6.0,3.0,92.4,105.8,758.1,9.9,24.8,28.0,1.8,0,-1.0,-1.8369701987210292e-16,-2.4492935982947064e-16,1.0,1,1,2.23606797749979,3.605551275463989,0,1,1,7505.19
2.0,2.0,92.4,117.9,668.0,12.2,19.6,33.0,6.3,0,-1.0,-1.8369701987210292e-16,-0.9749279121818236,-0.2225209339563146,0,1,4.242640687119285,7.211102550927978,0,0,1,8149.599999999999
1.0,2.0,90.1,108.0,529.8,12.5,14.7,66.0,2.7,0,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,1,5.0,8.06225774829855,0,0,1,6622.499999999999
9.0,5.0,93.3,49.5,297.7,14.0,28.0,34.0,4.5,0,1.2246467991473532e-16,-1.0,0.4338837391175582,-0.900968867902419,0,0,4.0,1.4142135623730951,1,1,0,4167.8
4.0,4.0,94.8,108.3,647.1,17.0,16.6,54.0,5.4,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0,1,1.4142135623730951,4.47213595499958,1,0,1,11000.7
2.0,5.0,91.0,129.5,692.6,7.0,17.6,46.0,3.1,0,-1.0,-1.8369701987210292e-16,0.9749279121818236,-0.2225209339563143,0,1,3.0,6.082762530298219,0,0,1,4848.2
5.0,4.0,92.1,99.0,745.3,9.6,12.8,64.0,3.6,0,-1.0,-1.8369701987210292e-16,-0.9749279121818236,-0.2225209339563146,0,1,1.0,3.605551275463989,1,0,1,7154.879999999999
6.0,3.0,88.6,69.7,706.8,5.8,20.6,37.0,1.8,0,-1.0,-1.8369701987210292e-16,-0.9749279121818236,-0.2225209339563146,0,1,2.23606797749979,3.605551275463989,0,1,1,4099.44
3.0,4.0,94.9,130.3,587.1,14.1,23.4,40.0,5.8,0,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,1,1,2.23606797749979,5.385164807134504,1,1,1,8278.11
8.0,6.0,91.4,142.4,601.4,10.6,18.2,43.0,4.9,0,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,1,1,3.1622776601683795,0.0,1,0,1,6374.839999999999
4.0,5.0,91.7,33.3,77.5,9.0,17.2,26.0,4.5,0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0,1,1.0,2.0,1,0,0,697.5
8.0,6.0,89.4,253.6,768.4,9.7,14.2,73.0,2.7,0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1,1,3.1622776601683795,0.0,0,0,1,7453.48
1.0,4.0,90.2,96.9,624.2,8.9,14.2,53.0,1.8,0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1,1,4.123105625617661,7.280109889280518,0,0,1,5555.380000000001
7.0,4.0,94.8,108.3,647.1,17.0,16.4,47.0,1.3,0,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,1,1,2.23606797749979,2.23606797749979,0,0,1,11000.7
1.0,2.0,92.9,137.0,706.4,9.2,25.4,27.0,2.2,0,-1.0,-1.8369701987210292e-16,-0.433883739117558,-0.9009688679024191,0,1,5.0,8.06225774829855,0,1,1,6498.879999999999
4.0,3.0,91.7,114.3,661.3,6.3,17.6,45.0,3.6,0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,1,2.23606797749979,5.0,1,0,1,4166.19
6.0,5.0,84.1,4.6,46.7,2.2,5.3,68.0,1.8,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0,0,1.0,0.0,0,0,0,102.74
2.0,5.0,93.7,231.1,715.1,8.4,18.9,64.0,4.9,0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1,1,3.0,6.082762530298219,1,0,1,6006.84
1.0,4.0,90.2,96.9,624.2,8.9,20.3,39.0,4.9,0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1,1,4.123105625617661,7.280109889280518,1,1,1,5555.380000000001
4.0,5.0,92.4,96.2,739.4,8.6,18.6,24.0,5.8,0,-1.0,-1.8369701987210292e-16,-0.433883739117558,-0.9009688679024191,0,1,1.0,4.123105625617661,1,0,1,6358.839999999999
2.0,5.0,90.3,290.0,855.3,7.4,16.2,58.0,3.6,0,-1.0,-1.8369701987210292e-16,-0.9749279121818236,-0.2225209339563146,0,1,3.0,6.082762530298219,1,0,1,6329.22
2.0,5.0,90.8,84.7,376.6,5.6,23.8,51.0,1.8,0,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,1,0,3.0,6.082762530298219,0,0,0,2108.96
4.0,4.0,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,0,1,1.4142135623730951,2.23606797749979,0,0,0,909.22
4.0,4.0,92.1,99.0,745.3,9.6,20.8,35.0,4.9,0,-1.0,-1.8369701987210292e-16,-0.9749279121818236,-0.2225209339563146,0,1,1.4142135623730951,4.47213595499958,1,1,1,7154.879999999999
2.0,2.0,90.2,99.6,631.2,6.3,20.8,33.0,2.7,0,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,1,1,4.242640687119285,7.211102550927978,0,1,1,3976.56
6.0,4.0,90.4,89.5,290.8,6.4,14.3,46.0,1.8,0,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,0,1.4142135623730951,2.8284271247461903,0,0,0,1861.12
6.0,5.0,90.4,93.3,298.1,7.5,19.1,39.0,5.4,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,1.0,2.23606797749979,1,0,0,2235.75
5.0,4.0,92.9,133.3,699.6,9.2,21.9,35.0,1.8,0,-1.0,-1.8369701987210292e-16,0.4338837391175582,-0.900968867902419,0,1,1.0,3.605551275463989,0,1,1,6436.32
2.0,4.0,81.6,56.7,665.6,1.9,21.9,71.0,5.8,0,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,1,1,3.1622776601683795,6.324555320336759,1,0,0,1264.64
1.0,5.0,93.4,145.4,721.4,8.1,29.6,27.0,2.7,0,-1.0,-1.8369701987210292e-16,-0.7818314824680299,0.6234898018587334,1,1,4.0,7.071067811865476,0,1,1,5843.339999999999
2.0,2.0,93.7,231.1,715.1,8.4,21.9,42.0,2.2,0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1,1,4.242640687119285,7.211102550927978,0,0,1,6006.84
6.0,5.0,81.5,9.1,55.2,2.7,5.8,54.0,5.8,0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0,0,1.0,0.0,1,0,0,149.04000000000002
